store_name,store_type,store_address,store_district,text,stars,date,Parameter
Пятерочка,Супермаркет,"Разъезжая, 23",Владимирский,классный магазин,5.0,2022-05-13,текст про качество товаров
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,Классный магазин,5.0,2023-08-31,текст про качество товаров
Дикси,Супермаркет,"Чайковского, 2/7Р",Литейный,"Классный магазин , хожу сюда много лет",5.0,2023-07-28,текст про качество товаров
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Классный магазин в самом центре, удобно",5.0,2022-07-17,текст про расположение магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Классный магазин где есть все. Он просто огромный с большой кулинарией,где доступные цены и очень вкусно! Советую для посещения.",5.0,2022-10-20,текст про расположение магазина
Вкусвилл,Супермаркет,"Суворовский проспект, 35",Смольнинское,Классный магазин особенно понравилась сотрудница Анжелика все объяснила показала приветственная отзывчивый человек,5.0,2022-05-27,текст про персонал магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Классный магазин с разнообразным ассортиментом.,5.0,2023-08-28,текст про персонал магазина
Пятерочка,Супермаркет,"Полтавский проезд, 2",Лиговка-Ямская,"Классный магазин у дома. Все есть, чисто, удобно. Есть банкомат Тиньков. Есть недорогой кофе. Персонал приветлив. Жаль, что тротуар у входа в магазин освоили попрошайки….",5.0,2023-06-05,текст про чистоту магазина
Вкусвилл,Супермаркет,"Кременчугская, 17, корп. 2",Лиговка-Ямская,Классный магазин 👍👍👍,5.0,2023-03-20,текст про качество товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Классный магазин! Свежее мясо и рыба. Кулинария! Удобная раскладка продуктов, большой ассортимент. Кассы самообслуживания. Ванный ассортимент не так велик.",5.0,2023-03-20,текст про ассортимент товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Классный магазин, большой выбор и очень вкусная еда",5.0,2023-07-09,текст про расположение магазина
Дикси,Супермаркет,"Рылеева, 20/51",Смольнинское,"Классный магазин, во первых круглосуточный, а во вторых хороший ассортимент продукции.",5.0,2023-01-17,текст про ассортимент товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Классный магазин, где можно купить не только продукты, но и готовую еду, там же можно и поесть. Есть раковина, столовые приборы микроволновки, очень удобно. Выбор еды очень большой, вкусно и не дорого.",5.0,2023-07-18,текст про расположение магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Классный магазин, мне он понравился.",4.0,2023-08-30,текст про расположение магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Классный магазин, отличную кулинария. Но к вечеру мало что остаётся. Особенно радует выбор сыров.",5.0,2023-07-11,текст про качество товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Классный магазин, отличный персонал, большой ассортимент, хорошее качество товара рекомендую",5.0,2023-07-07,текст про персонал магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Классный магазин, разнообразный и большой ассортимент и приемлимые цены. Есть зона выпечки пиццы и зона кулинарии. Если бы был такой магазин рядом с домом заглядывала бы чаще!",5.0,2022-04-28,текст про расположение магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,Классный магазин. Большой ассортимент. Качественный магазин,5.0,2023-03-06,текст про персонал магазина
Пятерочка,Супермаркет,"Транспортный переулок, 1",Лиговка-Ямская,Классный магазин. Всё можно купить по нормальным ценам.,5.0,2022-12-07,текст про цены товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Классный магазин. Главное, круглосуточный!",5.0,2022-07-12,текст про персонал магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Классный магазин. Можно и продукты купить, и покушать, как в кафе. Прикольные продукты, некоторые не купишь с бюджетных супермаркетах!",5.0,2022-05-27,текст про качество товаров
Вкусвилл,Супермаркет,"Невский проспект, 111/3",Лиговка-Ямская,Классный магазин. Очень вкусный. Рекомендую.,5.0,2023-06-07,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Классный магазин.Чистенько. Вежливое обслудивание.24/7. Хорошие цены на домашнею кухню.,5.0,2022-07-26,текст про чистоту магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,Классный супермаркет в котором есть все. Даже их собственная продукция очень вкусная!!!,5.0,2023-04-22,текст про персонал магазина
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,"Когда акции- вечно нет товара. Как было со стаканчиками по 1 рублю. Баллов куча, а потратить ни в одной из пятерочек гели возможности.",1.0,2023-04-11,текст про цены товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Когда бываю во Владимирском Пассаже по работе, всегда захожу в этот магазин. Нравятся роллы в ОТДЕЛЕ ""КУЛИНАРИЯ "". Вкусно, бюджетно и всегда все свежее. Особенно нравятся запечённые и горячие роллы. Все остальное в магазине , как везде...",5.0,2023-05-29,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Когда был просто спаром, было дешевле 😁 но и просрочки было много. Сейчас такого нет. Очень вкусная домашняя кухня, дешего для нашего времени даже",4.0,2022-09-15,текст про цены товаров
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,"Когда жила рядом, в хостеле Друзья Граффити, заходила в этот магазин, делала покупки. Есть ассортимент, персонал доброжелательный. Не было в наличии пластмассовых кружек или стаканов, для туристов, заваривать чай-кофе.",4.0,2022-01-18,текст про персонал магазина
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,Когда они поставят сканер цен?,5.0,2023-08-18,текст про цены товаров
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,"Когда покупал молочку, нашел на полке просроченный товар, неприятно конечно, впечатление о магазине подпорчено.",3.0,2022-07-03,текст про чистоту магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,"Когда приезжаем в Питер, всегда ходим в этот магазин. Всё устраивает.",5.0,2023-07-11,текст про расположение магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Когда-то здесь был хороший супермаркет ""Лэнд"", а теперь - ужасный ""Спар"". Персонал не говорит по-русски, а те, кто говорят - не знают ассортимента вообще.",1.0,2022-08-25,текст про ассортимент товаров
Магнит,Супермаркет,"Кременчугская, 19, корп. 2",Лиговка-Ямская,Компактный,5.0,2023-06-08,текст про качество товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Компактный , удобный магазин . Всё необходимое от замороженных стекой лосося до готовых салатов есть.",5.0,2022-11-11,текст про расположение магазина
Магнит,Супермаркет,"7-я Советская, 15/19",Смольнинское,Компактный и не так как на рынке,5.0,2022-05-23,текст про качество товаров
Вкусвилл,Супермаркет,"Кременчугская, 17, корп. 2",Лиговка-Ямская,"Компактый, уютный вкусвилл. Персонал очень вежливый, доброжелательный и отличные продукты. Но... Видео, что прям не хватает людей. Кассы пустые, ребята 1 или 2 человека в зале или на складе. Спасают 2 кассы самообслуживания, но они подвисают и приходится всё равно звать сотрудника. Человеку всë же нужен человек!",4.0,2023-08-21,текст про персонал магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Комфортно, чисто, вкусно",5.0,2022-07-12,текст про чистоту магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,Контингент отличный директор вообще,5.0,2023-07-30,текст про персонал магазина
Дикси,Супермаркет,"Пестеля, 16",Литейный,"Контингент, конечно, очень разнообразный. Продукты здесь покупаю только то, что не скоропортящееся, не молочку, не мясо, птицу и пр. Кофе, чай, бытовую химию, шоколадки, супы, пюре быстрого приготовления. Это максимум. Остальное не рискну.",3.0,2023-06-08,текст про ассортимент товаров
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,"Конфеты ""Ирис"" вкусные. А так обычный магаз",3.0,2022-01-14,текст про чистоту магазина
Дикси,Супермаркет,"Белинского, 1",Литейный,"Который раз захожу, вонь, будто крыс травили. Масло подсолнечное хранят не правильно, давно стоит на солнечном свету, значит всë испорченное. Уже говорила, что неправильно храните, реакция: нам где сказали разместить, там и разместили. То есть директор или администратор понятия не имеет о условиях хранения продукта. А ведь на самой упаковке написано: хранить в затемнëном месте!",3.0,2023-06-30,текст про чистоту магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Кофейный аппарат в магазине, для покупателей очень удобный, благодарю тех кто придумал его там разместить, кофе в Санкт-Петербурге очень прекрасно!",5.0,2023-04-30,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Кофемашина ночью не работает,1.0,2023-08-10,текст про персонал магазина
Дикси,Супермаркет,"Калужский переулок, 7",Смольнинское,"Кошмар, а не магазин!!! Один кассир на 15 человек🤯",1.0,2023-08-15,текст про чистоту магазина
Дикси,Супермаркет,"Чайковского, 2/7Р",Литейный,"Крайне не приятное место: зал грязный, а персонал хамоватый. Но зато работает круглые сутки.",1.0,2023-01-23,текст про персонал магазина
Пятерочка,Супермаркет,"Транспортный переулок, 1",Лиговка-Ямская,Крайне не советую этот магазин. Детектор хам и от него розит алкоголем,1.0,2023-02-03,текст про чистоту магазина
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,"Красавчик кассир - по запросу отреагировал и направил в место , где находится пиво, и экстренно пробил пиво в 21.59. это 5 баллов!",5.0,2022-06-07,текст про расположение магазина
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"Красиво после ремонта. Но очень узкие проходы, двоим не разойтись. Персонал активно работает в зале, что создаёт трудности с передвижением-нагруженные товаром тележки очень мешают. Три кассы явно мало для ""часа пик"". Большие очереди. Персонал довольно вежлив, но криклив.",3.0,2022-12-16,текст про персонал магазина
Вкусвилл,Супермаркет,"Суворовский проспект, 35",Смольнинское,"Красивый магазинчик, но цены не много кусаются. В принципе приемлемый магазин. Ассортимент стандартный",4.0,2022-11-26,текст про расположение магазина
Пятерочка,Супермаркет,"Владимирский проспект, 6",Владимирский,"Кроме небольшой надписи нет обозначений. Проходили мимо не замечая даже. 4 раза заходили и каждый раз какие-то проблемы с кассами. То товар не отбивается на кассах самообслуживания, то цена не та. Внутри довольно тесновато.",4.0,2023-08-22,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Кроме того, что дороговато и сказать нечего",4.0,2022-11-13,текст про цены товаров
Дикси,Супермаркет,"Чайковского, 2/7Р",Литейный,Круглосуточно работает!,5.0,2022-01-13,текст про персонал магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Круглосуточно, это огромный плюс. Большой выбор, но не всегда все в наличии. Касс достаточно, в т.ч. самообслуживание. В зале чисто",5.0,2023-07-07,текст про чистоту магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Круглосуточно. Новые блюда на вынос, завтрак, обед и ужин. Цена радует мозг, еда желудок.",5.0,2023-08-14,текст про ассортимент товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Круглосуточный магазин с крутой выпечкой. Попробуйте пиццу.,5.0,2022-02-11,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Круглосуточный сетевой магазин со стандартным набором продуктов и напитков. Вроде как круглосуточный. Есть кассы самообслуживания.,4.0,2022-02-24,текст про персонал магазина
Дикси,Супермаркет,"Жуковского, 4",Литейный,"Круглосуточный, отремонтированный магазин",5.0,2023-07-07,текст про чистоту магазина
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,Круто,5.0,2023-02-08,текст про чистоту магазина
Дикси,Супермаркет,"Калужский переулок, 7",Смольнинское,Круто дали на 10 рублей больше спасибо,5.0,2022-05-16,текст про цены товаров
Пятерочка,Супермаркет,"Кирочная, 45",Смольнинское,Круто магазин,5.0,2023-06-04,текст про персонал магазина
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Круто!!!,5.0,2022-06-17,текст про чистоту магазина
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Круто!!!,5.0,2022-06-17,текст про чистоту магазина
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,"Крутой магаз , женщина рыжая на кассе , самая крутая.",5.0,2023-02-22,текст про персонал магазина
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,Крутой магазин,5.0,2022-06-02,текст про персонал магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,Крутой магазин,5.0,2023-04-05,текст про персонал магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Крутой магазин,5.0,2023-01-05,текст про персонал магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Крутой магазин, домашняя кухня отпад, отличный вариант когда не хочется готовить но денег не много",5.0,2022-07-08,текст про чистоту магазина
Дикси,Супермаркет,"Белинского, 1",Литейный,"Кто разрешение выдает на такие магази мае, аны? Подвал набитый товаром. Не все могу спастись. Тесный,а удобный или нет у каждого своя жизнь.",2.0,2022-07-31,текст про чистоту магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,"Кудрявый мужчина, который работает в этом магазине, спасибо вам за ваш позитив и оригинальность) вы-редкость",5.0,2022-11-04,текст про чистоту магазина
Дикси,Супермаркет,"Перекупной переулок, 4",Смольнинское,"Куил сырок совсем не свежий, гадость",1.0,2023-03-12,текст про качество товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Кулинария в гипермаркет отличная! Картошка 3 вида , рыба минтай запечённая в кляре , сырники , роллы , цезарь . Рекомендую!",5.0,2023-06-10,текст про ассортимент товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Кулинария в ЕвроСпаре на владимирском для сильных желудком и слабых обонянием! Не поверила когда раскрыли упаковку с винегретом. Рулетики с ветчиной и сыром тоже изрядно уставшие! Все отправилось в помойку! Спасибо ответственным, стройнее будем!",1.0,2023-03-17,текст про качество товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Кулинария в спаре только для молодых, здоровых желудков.",3.0,2023-08-21,текст про качество товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Кулинария весьма средняя. Блюда пересолены, гриль оставляет желать лучшего. Выпечка неплохая",3.0,2023-08-28,текст про цены товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Кулинария и булочки на высоте ! Качественный алкоголь, работает 24, что очень удобно для микрорайона, с голода не помрешь точно, цены местами кусаются",5.0,2022-11-08,текст про качество товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Кулинария отличная, мясной отдел хтроший выбор свежего. Овощи и фрукты всегда высокого качества. Цены средние. Хороший отдел мангал и вкуснейшие пловы!",5.0,2023-02-23,текст про ассортимент товаров
Вкусвилл,Супермаркет,"Невский проспект, 130",Смольнинское,Кулинария слабая,3.0,2022-08-26,текст про качество товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Кулинария стала заметно хуже за последние 3-4 месяца,3.0,2022-10-17,текст про качество товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Купил вчера нарезку,язык,принес домой открыл и чуть не вырвало.Вонь тухлого мяса. Вы что продаете ??? Мне сейчас привезти обратно и накормить им того кто не смотрит за качеством???Деньги на ветер!!! Буду знакомым своим рекламу о вас делать...",1.0,2023-03-14,текст про качество товаров
Дикси,Супермаркет,"Белинского, 1",Литейный,Купил здесь лимон. Лимон был замечательный:-),5.0,2022-01-11,текст про расположение магазина
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,"Купил лимонад Черноголовки, на желтом ценнике указана цена 89 с копейками. Бутылки стоят на нижнем ярусе. На ценнике мелким шрифтом написано, что это цена при покупке 2х бутылок! Одна пробивается по 120 с хвостом!!!",1.0,2022-03-08,текст про цены товаров
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,"Купил по скидке куриные грудки, очень понравилось",5.0,2023-03-26,текст про цены товаров
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,"Купил сегодня яблоки красные фасованные аж за 130руб/кг , и что за ужас я получил за такие деньги ? Яблоко все гнилое и побитое",1.0,2022-04-14,текст про цены товаров
Магнит,Супермаркет,"7-я Советская, 15/19",Смольнинское,Купил сосиски а они испорчены,1.0,2022-08-30,текст про качество товаров
Вкусвилл,Супермаркет,"Марата, 21",Владимирский,"Купил сыр Фета, вкусный .",4.0,2022-04-27,текст про качество товаров
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Купила бёдра курицы .Оказалось тухлые.Чек мне на кассе не дали.Что делать с тухлым товаром?,1.0,2023-06-18,текст про качество товаров
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Купила бёдра курицы .Оказалось тухлые.Чек мне на кассе не дали.Что делать с тухлым товаром?,1.0,2023-06-18,текст про качество товаров
Пятерочка,Супермаркет,"Достоевского, 30/23",Владимирский,"Купила в этом магазине лимон, принесла домой, разрезали, а он гнилой. Очень много просроченной продукции, особенно овощей. Не рекомендую.",1.0,2023-07-01,текст про чистоту магазина
Вкусвилл,Супермаркет,"Суворовский проспект, 35",Смольнинское,"Купила пирожное ""картошка"", в нем уютно сидел таракан. Вот такой замечательный магазин ""хороших"" продуктов. Задумка магазина была хорошая. Реализация - г...о.",1.0,2022-06-07,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Купила сендвич, решила раскрыть, и что я вижу",2.0,2023-07-02,текст про расположение магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Купила там ролл, а он полупустой и это стоило 160₽ , что очень меня расстроило, зато манго свежий очень нравится , в целом неплохо, но бывает и лучше",4.0,2022-11-08,текст про чистоту магазина
Вкусвилл,Супермаркет,"проспект Чернышевского, 17",Литейный,"Купила яблоки «белый налив», а они гнилые внутри🥲обидно!",2.0,2023-06-29,текст про чистоту магазина
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Купили 2 котлеты, они оказались пересоленые есть не возможно, куриное филе очень сильно отдавало лимонным соком, возможно пытались скрыть некачественную курицу. Картошка и роллы были вполне съедобные.",2.0,2023-06-23,текст про качество товаров
СПАР,Супермаркет,"Владимирский проспект, 19",Владимирский,"Купили вечером стейк красной рыбы на гриле, ел сын и отравился. Предполагаю, что так как продукт дорогой, его своевременно не утилизируют, продают до упора. Не рекомендую.",1.0,2022-10-11,текст про цены товаров
Магнит,Супермаркет,"Лиговский проспект, 29",Смольнинское,"Купили все что нужно быстро, но продавщица нахамила на кассе",4.0,2023-01-15,текст про цены товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Купили здесь торт бокконто,вишневый,а по факту неизвестно что!крем масляный,бисквит не шоколадный,и ещё с грецкими орешками!где вкуснейший крем-чиз,который тает во рту?!испортили настроение,не знали,как объяснить гостям такую подмену!!!",1.0,2023-07-02,текст про чистоту магазина
Пятерочка,Супермаркет,"Манежная площадь, 6",Дворцовый,Купили кефир на адмирала Трибуца и он гуще сметаны. Из бутылки даже не выдавить. Что за продукция?Дикий ужас!!!!,1.0,2022-06-19,текст про качество товаров
Дикси,Супермаркет,"Невский проспект, 91",Лиговка-Ямская,"Купили, что хотели. Удобно, рядом с вокзалом",5.0,2022-06-02,текст про расположение магазина
Дикси,Супермаркет,"Рылеева, 20/51",Смольнинское,"Купить буханку хлеба не получилось, так как вся партия оказалась просрочка, пришлось купить батон",1.0,2022-12-31,текст про цены товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Кухня почти всегда недосоленая, копчёная рыба редко, но бывает несвежей. Корейка с зеленью топ.",4.0,2023-04-04,текст про чистоту магазина
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,"Куча товаров в магазине без ценников, это новая фишка такая, узнавать на кассе сколько стоит товар?",2.0,2023-02-15,текст про цены товаров
Пятерочка,Супермаркет,"Суворовский проспект, 10",Смольнинское,"Лабиринт узких проходов, бывший подвал, в Питере таких полно",5.0,2023-07-03,текст про чистоту магазина
Пятерочка,Супермаркет,"Правды, 22",Владимирский,"Лабиринт, а не магазин",1.0,2022-06-15,текст про цены товаров
Дикси,Супермаркет,"Рылеева, 20/51",Смольнинское,Лавочка убогая со смешным персоналом. Неудобное расположение отделов и касс. Теснотища. Очереди - не редкость. Качество и ассортимент товаров как во всех магазинах сети. Вообщем эконом класс он и в Африке эконом.,3.0,2022-05-26,текст про расположение магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Легко найти, всё как во всех магазинах, в часы пик не все готовые блюда имеются. Радует,что есть самообслуживание,очень экономит время",4.0,2023-05-01,текст про ассортимент товаров
Пятерочка,Супермаркет,"Кирочная, 24",Литейный,Лестница не удобная,3.0,2022-08-13,текст про расположение магазина
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,"Лично меня все устраивает. Разве что, маловат ассортимент салатов.",3.0,2022-08-03,текст про ассортимент товаров
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,"Лично меня все устраивает. Разве что, маловат ассортимент салатов.",3.0,2022-08-03,текст про ассортимент товаров
Пятерочка,Супермаркет,"Правды, 22",Владимирский,"Логистика зала - ужасная. Невозможно найти что-либо чисто интуитивно. Приходится по несколько раз проходить все стеллажи. В остальном же - все средне, без изменений относительно других «пятерочек».",3.0,2022-09-07,текст про чистоту магазина
Пятерочка,Супермаркет,"Черняховского, 16/5",Лиговка-Ямская,Лучшая,5.0,2022-11-23,текст про качество товаров
Пятерочка,Супермаркет,"Невский проспект, 146",Смольнинское,Лучшая Пятëрка на Невском.,5.0,2022-08-26,текст про качество товаров
Пятерочка,Супермаркет,"Транспортный переулок, 1",Лиговка-Ямская,лучшая пятерочка в городе,5.0,2023-05-29,текст про качество товаров
Пятерочка,Супермаркет,"Моисеенко, 22, лит.З",Смольнинское,Лучшая пятёрочка!),5.0,2023-01-04,текст про качество товаров
Дикси,Супермаркет,"Жуковского, 4",Литейный,"Лучше пользоваться скидочным приложением, чтобы избежать неприятностей в виде переплат...",3.0,2022-07-03,текст про цены товаров
Пятерочка,Супермаркет,"Марата, 65/20",Владимирский,Лучше соседних Пятерочек. Более чисто ухожено. Персонал достаточно вежлив. Ассортимент обычный для недорогих продовольственных магазинов. Товар представлен удобно и эстетично.,4.0,2023-03-18,текст про чистоту магазина
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Лучше чем в Москве. Ценники есть на каждый товар,5.0,2022-07-08,текст про цены товаров
Дикси,Супермаркет,"Суворовский проспект, 36",Смольнинское,Лучше чем в Москве. Ценники есть на каждый товар,5.0,2022-07-08,текст про цены товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Лучше чем в нижнем , очень приятно удивлены что он там есть )). Вкусно как всегда",5.0,2023-06-27,текст про качество товаров
Дикси,Супермаркет,"Лиговский проспект, 91",Владимирский,Лучшее место,5.0,2023-03-04,текст про персонал магазина
Вкусвилл,Супермаркет,"Литейный проспект, 54",Литейный,"Лучшее место для утренних быстрых завтраков, творожные запеканки это то ради чего я хожу во ВкусВилл каждое утро, йогурты-творожки своего производства тоже прекрасны 10/10",5.0,2022-10-25,текст про качество товаров
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Лучшее цены,5.0,2023-06-28,текст про качество товаров
Дикси,Супермаркет,"Белинского, 1",Литейный,Лучшие кассиры в мире. Добрый и приветливые,5.0,2023-03-16,текст про персонал магазина
Дикси,Супермаркет,"Большая Московская, 5",Владимирский,"Лучший в мире персонал в сетях продовольственных, просто супер!!! Стопицот звёзд, рекомендую!!!!",5.0,2022-11-03,текст про персонал магазина
Дикси,Супермаркет,"Перекупной переулок, 4",Смольнинское,Лучший Дикси,5.0,2023-02-17,текст про качество товаров
Дикси,Супермаркет,"Басков переулок, 33",Смольнинское,"лучший дикси, который видел, все качественно, всего много, респект директору за организацию, многие знают, поэтому больше посетителей чем хотелось бы видеть на кассах, это единственный недостаток",5.0,2022-11-07,текст про персонал магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Лучший евроспар. Уютный, с шикарным персоналом и всегда свежими продуктами. Только картошка часто неудачная)))Кулинария на высшем уровне!",5.0,2023-03-11,текст про персонал магазина
Дикси,Супермаркет,"Лиговский проспект, 1",Смольнинское,Лучший из магазинов Дикси где я бывал. Остальные были много хуже.,4.0,2022-12-28,текст про чистоту магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,Лучший магазин в городе,5.0,2022-08-12,текст про качество товаров
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"Лучший магазин в Питере! Ощущение,что находишься в Европе, необыкновенное разнообразие всяких вкусностей! Можно позавтракать,пообедать и пооужинать!",5.0,2023-01-29,текст про расположение магазина
Вкусвилл,Супермаркет,"проспект Чернышевского, 17",Литейный,Лучший магазин в своем формате.,5.0,2023-01-09,текст про качество товаров
Дикси,Супермаркет,"Белинского, 1",Литейный,"Лучший магазин дикси в округе, ценники и товары всегда на местах, отзывчивые продавцы, чистота",5.0,2023-03-28,текст про чистоту магазина
Вкусвилл,Супермаркет,"Марата, 21",Владимирский,"Лучший магазин из всех этой серии. Действительно огромный выбор всех продуктов. Нет очередей, приемлемые цены",5.0,2022-06-26,текст про чистоту магазина
СПАР,Супермаркет,"Литейный проспект, 12",Литейный,"Лучший магазин на Ваське! Персонал вежливый, админы компетентные и адекватные",5.0,2022-08-11,текст про персонал магазина
СПАР,Супермаркет,"Невский проспект, 48",Дворцовый,"лучший магазин на свете. роллы пушка!жаль не было торта наполеон, в спаре в нижнем новгороде он был супер вкусный",5.0,2023-08-13,текст про персонал магазина
